Subject,Dataset,Tweet ID,URL,Content,Author ID,Author Username,Author Blue Verified (T/F),Followers,Author Location,Likes,Views,Date
Keir Starmer (UK PM),domain,1979222027585179966,https://x.com/Bootsy27012/status/1979222027585179966,@Keir_Starmer Cunt,1312403018361507840,,False,0,,0,4,"October 17, 2025 at 04:24 PM"
Keir Starmer (UK PM),domain,1979221782700921098,https://x.com/elndito/status/1979221782700921098,@Keir_Starmer,1495493787891560451,,False,0,,1,9,"October 17, 2025 at 04:23 PM"
Keir Starmer (UK PM),domain,1979220902265999397,https://x.com/EaWatson364/status/1979220902265999397,@Keir_Starmer Let’s get you out,2954423099,,False,0,,0,3,"October 17, 2025 at 04:20 PM"
Keir Starmer (UK PM),domain,1979220070946517226,https://x.com/Lapanterarosca/status/1979220070946517226,@Keir_Starmer Then do something about it.,712280211811733504,,False,0,Ciberspace,0,20,"October 17, 2025 at 04:16 PM"
Keir Starmer (UK PM),domain,1979219325572559176,https://x.com/RickEnglishUK/status/1979219325572559176,@Keir_Starmer 😂,1.87639E+18,,False,0,Somewhere in 🏴󠁧󠁢󠁥󠁮󠁧󠁿,0,2,"October 17, 2025 at 04:13 PM"
Keir Starmer (UK PM),domain,1979219276587282461,https://x.com/mLizWard/status/1979219276587282461,@Keir_Starmer @UKLabour,84434666,,False,0,"Scotland, United Kingdom",0,12,"October 17, 2025 at 04:13 PM"
Keir Starmer (UK PM),domain,1979217942534406531,https://x.com/mLizWard/status/1979217942534406531,@Keir_Starmer @UKLabour,84434666,,False,0,"Scotland, United Kingdom",0,2,"October 17, 2025 at 04:08 PM"
Keir Starmer (UK PM),domain,1979217528326164982,https://x.com/AdamSimm8/status/1979217528326164982,@Keir_Starmer Liar,1477482484065521670,,False,0,"Liverpool, England",0,122,"October 17, 2025 at 04:06 PM"
Keir Starmer (UK PM),domain,1979217398764048557,https://x.com/mixiax/status/1979217398764048557,@Keir_Starmer,278912149,,False,0,"California, USA",0,5,"October 17, 2025 at 04:06 PM"
Keir Starmer (UK PM),domain,1979216375248756880,https://x.com/Vecchiastregga/status/1979216375248756880,@Keir_Starmer,1488976560023609347,,False,0,"Scotland, United Kingdom",0,1,"October 17, 2025 at 04:02 PM"
Keir Starmer (UK PM),domain,1979215658815533505,https://x.com/MMmmwa/status/1979215658815533505,@Keir_Starmer @YvetteCooperMP @EmilyThornberry @JohnHealey_MP @SadiqKhan @ukhomeoffice @metpoliceuk @FCDOGovUK @ShabanaMahmood ⬇️⬇️,45400210,,False,0,"London, England",0,15,"October 17, 2025 at 03:59 PM"
Keir Starmer (UK PM),domain,1979214645731664147,https://x.com/bjogre/status/1979214645731664147,@Keir_Starmer 😂😂😂,121774820,,False,0,"Malmö, Sverige",0,7,"October 17, 2025 at 03:55 PM"
Keir Starmer (UK PM),domain,1979214165509132561,https://x.com/P2VCrew/status/1979214165509132561,@Keir_Starmer Liar,1622213296488157187,,False,0,,0,3,"October 17, 2025 at 03:53 PM"
Keir Starmer (UK PM),domain,1979213786897657861,https://x.com/Smokeyfruitbat/status/1979213786897657861,@Keir_Starmer Cunt,1866921771657572353,,False,0,England,0,2,"October 17, 2025 at 03:51 PM"
Keir Starmer (UK PM),domain,1979213323280261315,https://x.com/LISA885217491/status/1979213323280261315,@Keir_Starmer 🤡,1437102097401585670,,False,0,Antwerp,2,3,"October 17, 2025 at 03:50 PM"
Keir Starmer (UK PM),domain,1979213261510737979,https://x.com/Gilana25/status/1979213261510737979,@Keir_Starmer Liar,761596553215746048,,False,0,"South West, England",0,11,"October 17, 2025 at 03:49 PM"
Keir Starmer (UK PM),domain,1979212998452380096,https://x.com/Black_Author/status/1979212998452380096,@Keir_Starmer 🤡,345032811,,False,0,England.,2,15,"October 17, 2025 at 03:48 PM"
Keir Starmer (UK PM),domain,1979212680314425562,https://x.com/Choch66/status/1979212680314425562,@Keir_Starmer,1527204879105769474,,False,0,Never you mind,0,0,"October 17, 2025 at 03:47 PM"
Keir Starmer (UK PM),domain,1979212545803120791,https://x.com/BernieGarbett/status/1979212545803120791,@Keir_Starmer When?,332999297,,False,0,"Shrewsbury, England",2,6,"October 17, 2025 at 03:46 PM"
Keir Starmer (UK PM),domain,1979211656270852150,https://x.com/BrandonLetsgo14/status/1979211656270852150,@Keir_Starmer Let’s get Britain deporting,1554201697614020608,,False,0,,2,5,"October 17, 2025 at 03:43 PM"
Keir Starmer (UK PM),domain,1979210824179646891,https://x.com/ljonesljones14/status/1979210824179646891,@Keir_Starmer,763676589729153024,,False,0,north west,0,2,"October 17, 2025 at 03:40 PM"
Keir Starmer (UK PM),domain,1979210324025778337,https://x.com/ljonesljones14/status/1979210324025778337,@Keir_Starmer,763676589729153024,,False,0,north west,0,2,"October 17, 2025 at 03:38 PM"
Keir Starmer (UK PM),domain,1979209523291160634,https://x.com/jojoz_lyne/status/1979209523291160634,@Keir_Starmer Let’s get you out,1587936510405480450,,False,0,,0,2,"October 17, 2025 at 03:34 PM"
Keir Starmer (UK PM),domain,1979208162893840890,https://x.com/ljonesljones14/status/1979208162893840890,@Keir_Starmer @ShabanaMahmood,763676589729153024,,False,0,north west,0,9,"October 17, 2025 at 03:29 PM"
Keir Starmer (UK PM),domain,1979207725297909913,https://x.com/ljonesljones14/status/1979207725297909913,@Keir_Starmer @ShabanaMahmood,763676589729153024,,False,0,north west,0,9,"October 17, 2025 at 03:27 PM"
Keir Starmer (UK PM),domain,1979207600378958015,https://x.com/Sicee420/status/1979207600378958015,@TRobinsonNewEra @Keir_Starmer @AmichaiChikli @OzraeliAvi 🤣😂🤣,1525151777368186882,,False,0,"Greenock, Scotland",1,36,"October 17, 2025 at 03:27 PM"
Keir Starmer (UK PM),domain,1979207231590584552,https://x.com/LudicrouseWitch/status/1979207231590584552,@Keir_Starmer What? Mosques?,1594838588008677382,,False,0,,1,8,"October 17, 2025 at 03:25 PM"
Keir Starmer (UK PM),domain,1979206866413445623,https://x.com/Berolblade/status/1979206866413445623,@Keir_Starmer,747536738080460800,,False,0,,0,4,"October 17, 2025 at 03:24 PM"
Keir Starmer (UK PM),domain,1979206631192715509,https://x.com/brianwatvr/status/1979206631192715509,@Keir_Starmer,1816486721313218560,,False,0,,0,7,"October 17, 2025 at 03:23 PM"
Keir Starmer (UK PM),domain,1979206492415783162,https://x.com/mixiax/status/1979206492415783162,@Keir_Starmer,278912149,,False,0,"California, USA",0,13,"October 17, 2025 at 03:22 PM"
Keir Starmer (UK PM),domain,1979206033370206631,https://x.com/Berolblade/status/1979206033370206631,@Keir_Starmer,747536738080460800,,False,0,,0,3,"October 17, 2025 at 03:21 PM"
Keir Starmer (UK PM),domain,1979205142349054051,https://x.com/jackaws21/status/1979205142349054051,@Keir_Starmer @ShabanaMahmood,1875454349473693696,,False,0,United Kingdom,0,3,"October 17, 2025 at 03:17 PM"
Keir Starmer (UK PM),domain,1979204680040304677,https://x.com/MMmmwa/status/1979204680040304677,@Keir_Starmer @YvetteCooperMP @EmilyThornberry @JohnHealey_MP @SadiqKhan @ukhomeoffice @metpoliceuk @FCDOGovUK @ShabanaMahmood ⬇️⬇️,45400210,,False,0,"London, England",0,8,"October 17, 2025 at 03:15 PM"
