Subject,Dataset,Tweet ID,URL,Content,Author ID,Author Username,Author Blue Verified (T/F),Followers,Author Location,Likes,Views,Date
NFL,domain,1979225251968963016,https://x.com/LucasMorga1110/status/1979225251968963016,Watching NFL on hd looks perfect,1949747346209660929,,False,0,United Kingdom,0,0,"October 17, 2025 at 04:37 PM"
NFL,domain,1979224762908922066,https://x.com/ward_flore58003/status/1979224762908922066,Watching NFL on hd looks perfect,1949736328100556800,,False,0,United Kingdom,0,3,"October 17, 2025 at 04:35 PM"
NFL,domain,1979224605110816914,https://x.com/TheoM87404/status/1979224605110816914,Watching NFL on hd looks perfect,1949735121516384256,,False,0,United Kingdom,0,2,"October 17, 2025 at 04:34 PM"
NFL,domain,1979224481022251034,https://x.com/turner_fre35739/status/1979224481022251034,Watching NFL on hd looks perfect,1949734086118957056,,False,0,United Kingdom,0,2,"October 17, 2025 at 04:34 PM"
NFL,domain,1979224366345867541,https://x.com/archie11554/status/1979224366345867541,Watching NFL on hd looks perfect,1949733001312559104,,False,0,United Kingdom,0,3,"October 17, 2025 at 04:33 PM"
NFL,domain,1979221476269085018,https://x.com/oneslicspic/status/1979221476269085018,@NFL_DovKleiman It was then that Joe realized he had sharted.,1561372788530741249,,False,0,United States of America,1,6,"October 17, 2025 at 04:22 PM"
NFL,domain,1979217998608028125,https://x.com/JFowler88/status/1979217998608028125,@NFL,312884689,,False,0,United States,0,61,"October 17, 2025 at 04:08 PM"
NFL,domain,1979215886234927135,https://x.com/uKNOWwhat95/status/1979215886234927135,@NFL_Memes 😂😂😂,1496549601909874698,,False,0,,0,61,"October 17, 2025 at 04:00 PM"
NFL,domain,1979215507703079406,https://x.com/GT_holiday/status/1979215507703079406,@NFL_Memes 🤣,518873387,,False,0,"PLANET  ATL, NYC, GT ",0,230,"October 17, 2025 at 03:58 PM"
NFL,domain,1979213024725488079,https://x.com/JLong35754/status/1979213024725488079,@brgridiron @NFL Incomplete pass,1494462276413313024,,False,0,,0,26,"October 17, 2025 at 03:48 PM"
NFL,domain,1979212424273080411,https://x.com/Crypt0_Ron1n/status/1979212424273080411,@NFL_FantasyPat Baker,1883206069683466240,,False,0,AnonChain,0,10,"October 17, 2025 at 03:46 PM"
NFL,domain,1979207752426656205,https://x.com/adfish112655/status/1979207752426656205,@brgridiron @NFL Int,50939300,,False,0,,0,18,"October 17, 2025 at 03:27 PM"
NFL,domain,1979207270295572609,https://x.com/nabrbe/status/1979207270295572609,@NFL_Memes 🤣,525733543,,False,0,"New Jersey, USA",0,2677,"October 17, 2025 at 03:25 PM"
