sentiment,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
negative,0.14780819072943807,0.24545031834298855,0.1891448510073047,0.08687477978216837,0.12419735411893566,0.20652450601916467
neutral,0.13829860607557784,0.20032727624913563,0.1307706825494313,0.14893995847400798,0.16027636179985177,0.22138711485199547
positive,0.13162170814288457,0.24780818442008834,0.09412210994494112,0.10156382407172058,0.15515987372543547,0.2697242996949299
