topic_id,label,top_words,exemplar_1,exemplar_2,exemplar_3
0,tel aviv · muslim · let · britain,"muslim, let, britain, get, maccabi, tel, aviv, tel aviv, not, jew, fan, want","Hear the threats do you @Keir_Starmer We know who are the real problem in English society, an ideology that can do this in a heartbeat, so stop the Islamic Musl",Emily Damari ‘shocked to my core’ over ‘disgusting’ decision to ban Maccabi Tel Aviv fans from Aston Villa match . @Keir_Starmer @10DowningStreet has lost contr,"@Keir_Starmer @ShabanaMahmood We know who are the real problem in English society, an ideology that can do this in a heartbeat so stop the Islamic Mafia running"
1,not · need · go · no,"not, need, go, no, get, build, uk, know, even, make, one, keep",UK hate crime levels are up. 45% of victims are muslims and 29% are Jewish . ( UK Home office figures) Hate towards two faith groups is glaring obvious yet one ,@Keir_Starmer Building 🤣 there are construction company’s going bust left right and centre and now you want to get building . MJL went for £280 million just to ,"@shyisc @AnomiePhoenix @TRobinsonNewEra @Keir_Starmer @AmichaiChikli @OzraeliAvi You said it right, ‘the ideas’.. 

They tricked billions for ages with the idea"
2,fan · football · ban · not,"fan, football, ban, not, israeli, antisemitism, no, anti, jew, racist, jewish, game","I know nothing about football.

From what I have read on Twitter (notoriously unreliable) is NOT that Israeli football fans would be unsafe from British footbal","If Italy isn't safe for Germans to go and watch the football, then what a failure of a place Napoli is.

@Keir_Starmer @Nigel_Farage @KemiBadenoch @EdwardJDavey","@novaramedia What is wrong with @Keir_Starmer ""The role of the police is to ensure all football fans can enjoy the game, without fear of violence or intimidatio"
3,not · police · trump · community,"not, police, trump, community, security, ukraine, without, war, russia, uk, peace, jewish",@jame96727 @HelsinkiComm @POTUS @VP @SusieWiles @_HenryBolton @timkaine @SecRubio @SteveWitkoff @generalkellogg @LindseyGrahamSC @SenBlumenthal @RepMcCaul @SenA,@jame96727 @HelsinkiComm @POTUS @VP @SusieWiles @_HenryBolton @timkaine @SecRubio @SteveWitkoff @generalkellogg @LindseyGrahamSC @SenBlumenthal @RepMcCaul @SenA,@jame96727 @WarMonitor3 @Keir_Starmer @EmmanuelMacron @SecGenNATO @kajakallas @bundeskanzler @GermanyDiplo @JohnHealey_MP @DefenceHQ @BelgiumNATO @esa @EU_Commi
4,keir starmer · prime minister · starmer · keir,"starmer, keir, keir starmer, labour, decision, wrong, uk, right, israel, minister, prime, prime minister","@DaveLewis12 @LlyrPowell @Mike1222 Vote Liebor get the Fabian , WEF Globalists.

We’ve all seen the headlines: Keir Starmer accusing Nigel Farage and Reform of ","@LlyrPowell @Mike1222 We’ve all seen the headlines: Keir Starmer accusing Nigel Farage and Reform of racism, Labour MPs lining up to brand ordinary voters as fa","@LawrenceCaswell Keir Starmer's approval ratings have cratered to historic lows, with recent polls showing Labour at its weakest share ever and Reform UK surgin"
5,not · uk · go · british,"not, uk, go, british, start, get, no, one, something, stop, minister, good","This is all bullshit. 

Prince Andrew was born a Prince- same as every Prince from a noble family in Europe and beyond. In Italy, many prince's we have (includi",Furious China threatens Britain with 'consequences' after Labour delays approval of new London 'super-embassy' - as PM gets fresh warning Beijing will use build,"@Keir_Starmer @ShabanaMahmood You are both contributing to the rape, PDFilia &amp; murder of our citizens. An asylum seeker laughing after murdering an asylum s"
