sentiment,topic_0,topic_1,topic_2,topic_3
negative,0.16564138817699595,0.20399000060571432,0.29801710743865223,0.3323515037786375
neutral,0.21550413032080834,0.26917479275972395,0.24876754852772506,0.2665535283917426
positive,0.1942275603337096,0.3415850614315641,0.22334892625693137,0.24083845197779497
