sentiment,topic_0,topic_1,topic_2,topic_3
negative,0.22711680943801466,0.41842019536455116,0.21766762381115776,0.13679537138627643
neutral,0.2429543002146951,0.27549225057848026,0.2711451624308006,0.21040828677602397
positive,0.23215597979996086,0.2876260112150855,0.2648690293765856,0.21534897960836807
