stage,rows,unique_authors,mean_include_matches,mean_exclude_matches,mean_relevance_score,mean_domain_similarity,median_domain_similarity
baseline,11667,318,,,,,
drop_rt_reply_noise,8209,307,,,,,
cap_posts_per_user,3270,307,,,,,
scored,3270,307,0.04067278287461774,0.11529051987767584,-0.0746177370030581,,
tweet_relevance_filter,120,103,1.0333333333333334,0.0,1.0333333333333334,,
domain_similarity_scored,120,103,1.0333333333333334,0.0,1.0333333333333334,0.05474417223194301,0.05277822206423949
domain_similarity_filter,54,48,1.0555555555555556,0.0,1.0555555555555556,0.0745387614787776,0.06936363781987362
author_focus_filter,54,48,1.0555555555555556,0.0,1.0555555555555556,0.0745387614787776,0.06936363781987362
