stage,rows,unique_authors,mean_include_matches,mean_exclude_matches,mean_relevance_score
baseline,11667,318,,,
drop_rt_reply_noise,8209,307,,,
cap_posts_per_user,3270,307,,,
scored,3270,307,0.04067278287461774,0.11529051987767584,-0.0746177370030581
subject_link_post_filter,120,103,1.0333333333333334,0.0,1.0333333333333334
author_focus_filter,165,19,0.22424242424242424,0.04242424242424243,0.18181818181818182
drop_direct_subject_posts,128,18,0.0,0.0390625,-0.0390625
drop_link_heavy_noise,105,18,0.0,0.047619047619047616,-0.047619047619047616
final_variant,105,18,0.0,0.047619047619047616,-0.047619047619047616
