stage,rows,unique_authors,mean_include_matches,mean_exclude_matches,mean_relevance_score
baseline,11667,318,,,
drop_rt_reply_noise,11667,318,,,
cap_posts_per_user,3687,318,,,
scored,3687,318,0.03525901817195552,0.11065907241659886,-0.07540005424464334
subject_link_post_filter,116,98,1.0344827586206897,0.0,1.0344827586206897
author_focus_filter,48,4,0.1875,0.125,0.0625
drop_direct_subject_posts,39,4,0.0,0.07692307692307693,-0.07692307692307693
drop_link_heavy_noise,31,4,0.0,0.0967741935483871,-0.0967741935483871
final_variant,31,4,0.0,0.0967741935483871,-0.0967741935483871
