n_topics,perplexity,log_likelihood
4,1550.3579096518995,-1091768.9662342854
6,1521.1644273090371,-1088943.82042805
8,1516.6273472391463,-1088499.8905980424
10,1523.7398539121384,-1089195.2238588117
