sentiment,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
negative,0.1258771751861877,0.10239920071814676,0.1315143215078669,0.13180731453830724,0.10715115434347065,0.2004152088117636,0.11818216237763286,0.08265346251662428
neutral,0.12243713000076029,0.11638880426677325,0.12481186588961175,0.11748380045010573,0.11645635485865176,0.168564982618306,0.12761708336099814,0.10623997855479309
positive,0.1720445351244024,0.07810344026725674,0.11428950591762799,0.088465290097775,0.09203328831051111,0.20210747102457513,0.13660220765688663,0.11635426160096499
