sentiment,topic_0,topic_1,topic_2,topic_3
negative,0.3056259941414667,0.436961042781991,0.1626371117197456,0.09477585135679668
neutral,0.2458808788662282,0.3677247862133178,0.196073117372576,0.19032121754787804
positive,0.14525280042005626,0.4366310941835731,0.18524033882970672,0.23287576656666392
